model mSUGRA
parameter tanbeta 3
parameter a0 -400
parameter mu 1
parameter kFactorProcessWeighted true
scan m0m12 10.0 270.0 cu4mu0e0tau 0.0 0.0
scan m0m12 10.0 270.0 cu3mu1e0tau 0.0004 0.0003
scan m0m12 10.0 270.0 cu2mu2e0tau 0.0 0.0
scan m0m12 10.0 270.0 cu1mu3e0tau 0.0004 0.0003
scan m0m12 10.0 270.0 cu0mu4e0tau 0.0 0.0
scan m0m12 10.0 270.0 cu3mu0e1tau 0.0 0.0
scan m0m12 10.0 270.0 cu2mu1e1tau 0.0 0.0
scan m0m12 10.0 270.0 cu1mu2e1tau 0.0004 0.0003
scan m0m12 10.0 270.0 cu0mu3e1tau 0.0 0.0
scan m0m12 10.0 270.0 cu2mu0e2tau 0.0 0.0
scan m0m12 10.0 270.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 270.0 cu0mu2e2tau 0.0 0.0
scan m0m12 10 280 LOXSEC 2.5410
scan m0m12 10.0 280.0 cu3mu 0.0059 0.0011
scan m0m12 10.0 280.0 cu2mu1e 0.0033 0.0008
scan m0m12 10.0 280.0 cu2e1mu 0.0037 0.0008
scan m0m12 10.0 280.0 cu3e 0.0014 0.0006
scan m0m12 10.0 280.0 cu2mutau 0.0015 0.0006
scan m0m12 10.0 280.0 cu2etau 0.0012 0.0004
scan m0m12 10.0 280.0 cuemutau 0.0026 0.0007
scan m0m12 10.0 280.0 cuss2mu1e 0.0 0.0
scan m0m12 10.0 280.0 cuss2e1mu 0.0006 0.0004
scan m0m12 10.0 280.0 cuss2mutau 0.0 0.0
scan m0m12 10.0 280.0 cuss2etau 0.0003 0.0003
scan m0m12 10.0 280.0 cussemutau 0.0014 0.0004
scan m0m12 10.0 280.0 cu4mu0e0tau 0.0 0.0
scan m0m12 10.0 280.0 cu3mu1e0tau 0.0 0.0
scan m0m12 10.0 280.0 cu2mu2e0tau 0.0 0.0
scan m0m12 10.0 280.0 cu1mu3e0tau 0.0002 0.0003
scan m0m12 10.0 280.0 cu0mu4e0tau 0.0003 0.0003
scan m0m12 10.0 280.0 cu3mu0e1tau 0.0 0.0
scan m0m12 10.0 280.0 cu2mu1e1tau 0.0006 0.0003
scan m0m12 10.0 280.0 cu1mu2e1tau 0.0 0.0
scan m0m12 10.0 280.0 cu0mu3e1tau 0.0 0.0
scan m0m12 10.0 280.0 cu2mu0e2tau 0.0 0.0
scan m0m12 10.0 280.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 280.0 cu0mu2e2tau 0.0 0.0
scan m0m12 10 290 LOXSEC 2.0980
scan m0m12 10.0 290.0 cu3mu 0.0057 0.001
scan m0m12 10.0 290.0 cu2mu1e 0.0033 0.0007
scan m0m12 10.0 290.0 cu2e1mu 0.0022 0.0006
scan m0m12 10.0 290.0 cu3e 0.0013 0.0005
scan m0m12 10.0 290.0 cu2mutau 0.0017 0.0005
scan m0m12 10.0 290.0 cu2etau 0.0007 0.0004
scan m0m12 10.0 290.0 cuemutau 0.0011 0.0004
scan m0m12 10.0 290.0 cuss2mu1e 0.0014 0.0005
scan m0m12 10.0 290.0 cuss2e1mu 0.0 0.0
scan m0m12 10.0 290.0 cuss2mutau 0.0003 0.0002
scan m0m12 10.0 290.0 cuss2etau 0.0 0.0
scan m0m12 10.0 290.0 cussemutau 0.0004 0.0002
scan m0m12 10.0 290.0 cu4mu0e0tau 0.0 0.0
scan m0m12 10.0 290.0 cu3mu1e0tau 0.0 0.0
scan m0m12 10.0 290.0 cu2mu2e0tau 0.0003 0.0002
scan m0m12 10.0 290.0 cu1mu3e0tau 0.0 0.0
scan m0m12 10.0 290.0 cu0mu4e0tau 0.0 0.0
scan m0m12 10.0 290.0 cu3mu0e1tau 0.0 0.0
scan m0m12 10.0 290.0 cu2mu1e1tau 0.0 0.0
scan m0m12 10.0 290.0 cu1mu2e1tau 0.0 0.0
scan m0m12 10.0 290.0 cu0mu3e1tau 0.0 0.0
scan m0m12 10.0 290.0 cu2mu0e2tau 0.0 0.0
scan m0m12 10.0 290.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 290.0 cu0mu2e2tau 0.0 0.0
scan m0m12 20 160 LOXSEC 54.3500
scan m0m12 20.0 160.0 cu3mu 0.1364 0.0237
scan m0m12 20.0 160.0 cu2mu1e 0.122 0.0231
scan m0m12 20.0 160.0 cu2e1mu 0.025 0.0094
scan m0m12 20.0 160.0 cu3e 0.0435 0.0154
scan m0m12 20.0 160.0 cu2mutau 0.2072 0.0298
scan m0m12 20.0 160.0 cu2etau 0.0514 0.0154
scan m0m12 20.0 160.0 cuemutau 0.0067 0.0054
scan m0m12 20.0 160.0 cuss2mu1e 0.0099 0.0054
scan m0m12 20.0 160.0 cuss2e1mu 0.0 0.0
scan m0m12 20.0 160.0 cuss2mutau 0.0 0.0
scan m0m12 20.0 160.0 cuss2etau 0.0 0.0
scan m0m12 20.0 160.0 cussemutau 0.0136 0.0077
scan m0m12 20.0 160.0 cu4mu0e0tau 0.0391 0.0122
scan m0m12 20.0 160.0 cu3mu1e0tau 0.0 0.0
scan m0m12 20.0 160.0 cu2mu2e0tau 0.0206 0.0094
scan m0m12 20.0 160.0 cu1mu3e0tau 0.0059 0.0054
scan m0m12 20.0 160.0 cu0mu4e0tau 0.0 0.0
scan m0m12 20.0 160.0 cu3mu0e1tau 0.0 0.0
scan m0m12 20.0 160.0 cu2mu1e1tau 0.0 0.0
scan m0m12 20.0 160.0 cu1mu2e1tau 0.0 0.0
scan m0m12 20.0 160.0 cu0mu3e1tau 0.0 0.0
scan m0m12 20.0 160.0 cu2mu0e2tau 0.0081 0.0054
scan m0m12 20.0 160.0 cu1mu1e2tau 0.0 0.0
scan m0m12 20.0 160.0 cu0mu2e2tau 0.0 0.0
scan m0m12 20 170 LOXSEC 38.9700
scan m0m12 20.0 170.0 cu3mu 0.1232 0.0191
scan m0m12 20.0 170.0 cu2mu1e 0.0936 0.0174
scan m0m12 20.0 170.0 cu2e1mu 0.0606 0.0141
scan m0m12 20.0 170.0 cu3e 0.0647 0.0146
scan m0m12 20.0 170.0 cu2mutau 0.1238 0.0187
scan m0m12 20.0 170.0 cu2etau 0.0612 0.0135
scan m0m12 20.0 170.0 cuemutau 0.005 0.0039
scan m0m12 20.0 170.0 cuss2mu1e 0.0056 0.0039
scan m0m12 20.0 170.0 cuss2e1mu 0.0151 0.0067
scan m0m12 20.0 170.0 cuss2mutau 0.0048 0.0039
scan m0m12 20.0 170.0 cuss2etau 0.0 0.0
scan m0m12 20.0 170.0 cussemutau 0.0113 0.0055
scan m0m12 20.0 170.0 cu4mu0e0tau 0.0339 0.0103
scan m0m12 20.0 170.0 cu3mu1e0tau 0.0 0.0
scan m0m12 20.0 170.0 cu2mu2e0tau 0.0292 0.0095
scan m0m12 20.0 170.0 cu1mu3e0tau 0.0 0.0
scan m0m12 20.0 170.0 cu0mu4e0tau 0.0 0.0
scan m0m12 20.0 170.0 cu3mu0e1tau 0.0 0.0
scan m0m12 20.0 170.0 cu2mu1e1tau 0.0086 0.0055
scan m0m12 20.0 170.0 cu1mu2e1tau 0.0049 0.0039
scan m0m12 20.0 170.0 cu0mu3e1tau 0.0 0.0
scan m0m12 20.0 170.0 cu2mu0e2tau 0.005 0.0039
scan m0m12 20.0 170.0 cu1mu1e2tau 0.0 0.0
scan m0m12 20.0 170.0 cu0mu2e2tau 0.0 0.0
scan m0m12 20 180 LOXSEC 28.5900
scan m0m12 20.0 180.0 cu3mu 0.0731 0.0125
scan m0m12 20.0 180.0 cu2mu1e 0.0604 0.0118
scan m0m12 20.0 180.0 cu2e1mu 0.0402 0.0099
scan m0m12 20.0 180.0 cu3e 0.0193 0.0064
scan m0m12 20.0 180.0 cu2mutau 0.0912 0.0143
scan m0m12 20.0 180.0 cu2etau 0.0385 0.009
scan m0m12 20.0 180.0 cuemutau 0.0078 0.004
scan m0m12 20.0 180.0 cuss2mu1e 0.0 0.0
scan m0m12 20.0 180.0 cuss2e1mu 0.0 0.0
scan m0m12 20.0 180.0 cuss2mutau 0.0 0.0
scan m0m12 20.0 180.0 cuss2etau 0.0 0.0
scan m0m12 20.0 180.0 cussemutau 0.0036 0.0029
scan m0m12 20.0 180.0 cu4mu0e0tau 0.0177 0.0064
scan m0m12 20.0 180.0 cu3mu1e0tau 0.0036 0.0029
scan m0m12 20.0 180.0 cu2mu2e0tau 0.0179 0.0064
scan m0m12 20.0 180.0 cu1mu3e0tau 0.0 0.0
scan m0m12 20.0 180.0 cu0mu4e0tau 0.0072 0.004
scan m0m12 20.0 180.0 cu3mu0e1tau 0.0034 0.0029
scan m0m12 20.0 180.0 cu2mu1e1tau 0.0035 0.0029
