model GGM
parameter na
parameter na
parameter na
parameter kFactorProcessWeighted true
scan mcmg 300 600 LOXSEC 6.1600
scan mcmg 300.0 1250.0 cuss2mu1e 0.0004 0.0001
scan mcmg 300.0 1250.0 cuss2e1mu 0.0005 0.0001
scan mcmg 300.0 1250.0 cuss2mutau 0.0003 0.0001
scan mcmg 300.0 1250.0 cuss2etau 0.0002 0.0001
scan mcmg 300.0 1250.0 cussemutau 0.0003 0.0002
scan mcmg 300.0 1250.0 cu4mu0e0tau 0.0032 0.0006
scan mcmg 300.0 1250.0 cu3mu1e0tau 0.0031 0.0005
scan mcmg 300.0 1250.0 cu2mu2e0tau 0.0036 0.0005
scan mcmg 300.0 1250.0 cu1mu3e0tau 0.0015 0.0003
scan mcmg 300.0 1250.0 cu0mu4e0tau 0.0012 0.0003
scan mcmg 300.0 1250.0 cu3mu0e1tau 0.0005 0.0002
scan mcmg 300.0 1250.0 cu2mu1e1tau 0.0007 0.0003
scan mcmg 300.0 1250.0 cu1mu2e1tau 0.0006 0.0002
scan mcmg 300.0 1250.0 cu0mu3e1tau 0.0003 0.0001
scan mcmg 300.0 1250.0 cu2mu0e2tau 0.0002 0.0001
scan mcmg 300.0 1250.0 cu1mu1e2tau 0.0 0.0
scan mcmg 300.0 1250.0 cu0mu2e2tau 0.0002 0.0001
scan mcmg 300 1300 LOXSEC 0.2571
scan mcmg 300.0 1300.0 cu3mu 0.0025 0.0004
scan mcmg 300.0 1300.0 cu2mu1e 0.0027 0.0004
scan mcmg 300.0 1300.0 cu2e1mu 0.0019 0.0003
scan mcmg 300.0 1300.0 cu3e 0.0018 0.0003
scan mcmg 300.0 1300.0 cu2mutau 0.0005 0.0002
scan mcmg 300.0 1300.0 cu2etau 0.0003 0.0002
scan mcmg 300.0 1300.0 cuemutau 0.0004 0.0002
scan mcmg 300.0 1300.0 cuss2mu1e 0.0003 0.0001
scan mcmg 300.0 1300.0 cuss2e1mu 0.0004 0.0001
scan mcmg 300.0 1300.0 cuss2mutau 0.0002 0.0001
scan mcmg 300.0 1300.0 cuss2etau 0.0001 0.0001
scan mcmg 300.0 1300.0 cussemutau 0.0002 0.0001
scan mcmg 300.0 1300.0 cu4mu0e0tau 0.0028 0.0005
scan mcmg 300.0 1300.0 cu3mu1e0tau 0.0021 0.0003
scan mcmg 300.0 1300.0 cu2mu2e0tau 0.003 0.0004
scan mcmg 300.0 1300.0 cu1mu3e0tau 0.0009 0.0002
scan mcmg 300.0 1300.0 cu0mu4e0tau 0.0009 0.0002
scan mcmg 300.0 1300.0 cu3mu0e1tau 0.0005 0.0002
scan mcmg 300.0 1300.0 cu2mu1e1tau 0.0008 0.0003
scan mcmg 300.0 1300.0 cu1mu2e1tau 0.0003 0.0001
scan mcmg 300.0 1300.0 cu0mu3e1tau 0.0003 0.0001
scan mcmg 300.0 1300.0 cu2mu0e2tau 0.0002 0.0001
scan mcmg 300.0 1300.0 cu1mu1e2tau 0.0001 0.0001
scan mcmg 300.0 1300.0 cu0mu2e2tau 0.0001 0.0001
scan mcmg 300 1350 LOXSEC 0.2544
scan mcmg 300.0 1350.0 cu3mu 0.0018 0.0003
scan mcmg 300.0 1350.0 cu2mu1e 0.0019 0.0003
scan mcmg 300.0 1350.0 cu2e1mu 0.0013 0.0002
scan mcmg 300.0 1350.0 cu3e 0.0012 0.0002
scan mcmg 300.0 1350.0 cu2mutau 0.0006 0.0002
scan mcmg 300.0 1350.0 cu2etau 0.0006 0.0003
scan mcmg 300.0 1350.0 cuemutau 0.0002 0.0001
scan mcmg 300.0 1350.0 cuss2mu1e 0.0004 0.0001
scan mcmg 300.0 1350.0 cuss2e1mu 0.0003 0.0001
scan mcmg 300.0 1350.0 cuss2mutau 0.0001 0.0001
scan mcmg 300.0 1350.0 cuss2etau 0.0001 0.0001
scan mcmg 300.0 1350.0 cussemutau 0.0001 0.0001
scan mcmg 300.0 1350.0 cu4mu0e0tau 0.0027 0.0005
scan mcmg 300.0 1350.0 cu3mu1e0tau 0.0019 0.0003
scan mcmg 300.0 1350.0 cu2mu2e0tau 0.0021 0.0003
scan mcmg 300.0 1350.0 cu1mu3e0tau 0.0008 0.0002
scan mcmg 300.0 1350.0 cu0mu4e0tau 0.0007 0.0002
scan mcmg 300.0 1350.0 cu3mu0e1tau 0.0003 0.0001
scan mcmg 300.0 1350.0 cu2mu1e1tau 0.0005 0.0002
scan mcmg 300.0 1350.0 cu1mu2e1tau 0.0004 0.0002
scan mcmg 300.0 1350.0 cu0mu3e1tau 0.0001 0.0001
scan mcmg 300.0 1350.0 cu2mu0e2tau 0.0001 0.0001
scan mcmg 300.0 1350.0 cu1mu1e2tau 0.0 0.0
scan mcmg 300.0 1350.0 cu0mu2e2tau 0.0001 0.0001
scan mcmg 300 1400 LOXSEC 0.2494
scan mcmg 300.0 1400.0 cu3mu 0.0022 0.0004
scan mcmg 300.0 1400.0 cu2mu1e 0.0018 0.0003
scan mcmg 300.0 1400.0 cu2e1mu 0.0012 0.0002
